Date,Weekly_Sales,Dept,IsHoliday,Store
2011-12-16,44765.51,40,False,0
2011-12-30,4255.24,7,True,0
2011-12-02,6874.98,31,False,0
2011-12-23,5659.07,8,False,0
2011-12-02,1538.19,26,False,0
2011-12-16,29178.4,4,False,0
2011-12-16,-483.76,98,False,0
2011-12-23,1236.71,30,False,0
2011-12-09,1259.73,52,False,0
2011-12-09,-614.36,56,False,0
2011-12-09,448.98,31,False,0
2011-12-30,4024.09,94,True,0
2011-12-16,26281.33,13,False,0
2011-12-30,-798.0,48,True,0
2011-12-09,54798.46,13,False,0
2011-12-09,197.99,56,False,0
2011-12-09,5659.07,40,False,0
2011-12-16,36769.33,82,False,0
2011-12-02,62.34,18,False,0
2011-12-23,1933.46,49,False,0
2011-12-02,14418.97,29,False,0
2011-12-23,25231.85,13,False,0
2011-12-09,10532.91,29,False,0
2011-12-02,19795.64,98,False,0
2011-12-23,2519.67,22,False,0
2011-12-23,36499.67,96,False,0
2011-12-16,-798.0,52,False,0
2011-12-09,-442.28,45,False,0
2011-12-30,558.02,19,True,0
2011-12-16,-798.0,60,False,0
2011-12-23,10070.64,37,False,0
2011-12-09,18170.43,80,False,0
2011-12-30,7169.38,67,True,0
2011-12-02,12860.98,80,False,0
2011-12-23,-638.54,42,False,0
2011-12-02,7435.76,20,False,0
2011-12-23,12291.02,81,False,0
2011-12-30,19414.18,3,True,0
2011-12-30,2609.29,4,True,0
2011-12-23,64798.09,6,False,0
2011-12-09,16548.34,40,False,0
2011-12-09,84196.64,90,False,0
2011-12-02,7420.23,41,False,0
2011-12-02,8806.82,83,False,0
2011-12-16,65299.26,4,False,0
2011-12-30,-115.06,56,True,0
2011-12-16,64322.35,95,False,0
2011-12-09,6016.35,41,False,0
2011-12-23,15283.87,2,False,0
2011-12-30,2713.69,95,True,0
2011-12-02,7400.68,93,False,0
2011-12-02,476.32,28,False,0
2011-12-23,23125.81,85,False,0
2011-12-16,81004.09,26,False,0
2011-12-16,51402.65,38,False,0
2011-12-30,39488.9,90,True,0
2011-12-16,19548.93,33,False,0
2011-12-23,-358.12,19,False,0
2011-12-23,14154.06,52,False,0
2011-12-23,97962.25,92,False,0
2011-12-23,16439.97,46,False,0
2011-12-30,4802.33,27,True,0
2011-12-09,12389.56,55,False,0
2011-12-16,30225.77,10,False,0
2011-12-30,17725.92,97,True,0
2011-12-16,22331.09,55,False,0
2011-12-23,84568.62,2,False,0
2011-12-23,1970.17,77,False,0
2011-12-30,15328.15,58,True,0
2011-12-30,1978.13,71,True,0
2011-12-23,2001.11,2,False,0
2011-12-09,21912.75,90,False,0
2011-12-23,16035.05,20,False,0
2011-12-16,14391.03,6,False,0
2011-12-02,19785.21,4,False,0
2011-12-30,26198.73,79,True,0
2011-12-02,694.06,45,False,0
2011-12-02,867.21,41,False,0
2011-12-23,5805.85,91,False,0
2011-12-09,14117.26,32,False,0
2011-12-16,2864.08,35,False,0
2011-12-30,9436.87,94,True,0
2011-12-30,18281.58,26,True,0
2011-12-02,112775.6,92,False,0
2011-12-30,10793.42,74,True,0
2011-12-23,81198.1,95,False,0
2011-12-09,8701.73,92,False,0
2011-12-30,9788.97,24,True,0
2011-12-30,9563.01,26,True,0
2011-12-09,15822.81,11,False,0
2011-12-09,-119.96,35,False,0
2011-12-30,2029.86,80,True,0
2011-12-02,438.72,41,False,0
2011-12-30,7606.93,25,True,0
2011-12-16,2865.95,5,True,0
2011-12-30,5742.42,48,True,0
2011-12-09,1297.78,52,False,0
2011-12-30,13868.46,79,True,0
2011-12-09,1743.58,91,False,0
2011-12-30,11730.32,26,True,0
2011-12-23,-283.87,27,False,0
