Store,Date,MarkDown1,IsHoliday,MarkDown4,MarkDown3,Fuel_Price,Unemployment,Temperature,MarkDown5,MarkDown2,CPI,_is_imputed
0,2011-12-02,971.1998,False,578.031436409476,5191.022794743447,3.478,12.131,36.34,2739.11,1758.576718427922,217.6384512,False
0,2011-12-09,7100.5132,False,1761.80146119513,-0.87,3.433,8.299,52.75,5715.68,1319.286716523895,223.2496766,False
0,2011-12-09,2428.1398,False,922.803300022099,2583.606036961142,3.581,9.2,52.47,6328.73,12402.021346401354,137.0010824,False
0,2011-12-16,9353.3078,False,217.407277642957,-0.87,3.142,8.26,24.14,13373.38,0.03,129.8459667,False
0,2011-12-23,10658.2245,False,1180.449016555694,1552.5986705458467,3.6,8.265,40.4,5206.21,0.03,132.9472682,False
0,2011-12-30,6102.27702,0.0,932.0984983650712,1865.097500450087,3.4467999999999996,9.231,41.22,6672.622,3095.988956270635,168.13648902,True
1,2011-12-02,9625.2884,False,3144.151342456334,969.5418689114751,3.167,8.133,33.94,4645.59,0.03,131.5590485,False
1,2011-12-09,6215.25,False,553.766568592997,1572.0839944741583,3.508,9.062,51.81,21829.03,0.03,129.8459667,False
1,2011-12-16,7937.2266,0.6,1173.182500166461,642.9019202265456,3.2134,8.052600000000002,42.486000000000004,7163.7,17823.055013421872,157.18496222000002,True
1,2011-12-23,7937.2266,0.6,1173.182500166461,642.9019202265456,3.2134,8.052600000000002,42.486000000000004,7163.7,17823.055013421872,157.18496222000002,True
1,2011-12-30,11472.59,True,486.789105146995,349.5185974849466,3.118,8.431,53.31,2644.75,34684.064831038784,151.5481962,False
1,2011-12-30,2712.6654,True,1207.667463277027,324.2351402621483,3.168,6.791,42.38,640.63,12521.42112240619,149.984628,False
1,2011-12-30,9660.3392,True,473.538021358952,-0.87,3.106,7.846,30.99,6058.5,41909.7291136644,222.9869717,False
2,2011-12-02,4677.2392,False,1881.911265077997,1525.546742852834,3.291,6.81,23.32,4699.73,5633.650343625082,151.6842118,False
2,2011-12-02,2004.9687,False,331.200852668762,42.4611605285652,3.151,7.377,42.79,3074.05,4289.041550900674,129.8459667,False
2,2011-12-09,5319.98762,0.4,1635.7417262152744,351.7115300874009,3.2083999999999997,8.6294,33.55,3657.738,6630.550582922687,142.57188462000002,True
2,2011-12-16,5319.98762,0.4,1635.7417262152744,351.7115300874009,3.2083999999999997,8.6294,33.55,3657.738,6630.550582922687,142.57188462000002,True
2,2011-12-23,2007.2607,False,4414.081613136832,-0.87,3.145,11.008,48.84,2595.85,0.03,138.218558,False
2,2011-12-30,11190.0554,True,129.956042429315,192.2897470556049,3.098,6.062,41.63,2839.92,0.03,152.586127,False
2,2011-12-30,6720.4141,True,1421.558857763465,-0.87,3.357,11.89,11.17,5079.14,23230.00102008768,140.5245596,False
3,2011-12-02,7272.0774,False,236.577711085009,723.0924975990038,3.338,8.886,42.39,5068.05,624.374453123091,141.4287219,False
3,2011-12-09,3930.40708,0.2,2556.1735455433463,223.0416302804163,3.3233999999999995,8.2696,33.746,3871.452,9622.546736130074,154.27115611999997,True
3,2011-12-16,2668.452,False,5771.513941408803,394.7256538030775,3.445,7.834,41.82,3245.52,7617.766041087531,136.0849806,False
3,2011-12-23,1314.7612,False,4449.037822455605,-0.87,3.612,9.237,40.05,1230.76,7534.236644677394,129.8459667,False
3,2011-12-23,2008.8418,False,2321.738252767316,-0.87,3.098,7.107,11.17,2967.87,6583.320977616011,140.7464348,False
3,2011-12-30,6387.903,True,2.0,-0.87,3.124,8.284,33.3,6845.06,25753.03556414635,223.2496766,False
4,2011-12-02,2122.7505,False,278.367875759276,431.260401374308,3.321,6.54,47.95,7964.09,476.871406638815,214.2184424,False
4,2011-12-02,682.4932,False,1522.335395964399,-0.87,3.098,6.946,46.45,1652.87,300.546692866823,132.8853261,False
4,2011-12-09,2020.0405,False,1818.532826256411,1041.8481626052776,3.108,12.343,24.26,10597.34,0.03,141.2650626,False
4,2011-12-16,938.7776,False,2.0,168.9209519377518,3.368,7.714,18.58,11612.98,0.03,144.4216473,False
4,2011-12-23,1668.5691,False,1002.256863410725,208.5112816656616,3.467,6.801,26.22,3393.46,9361.773918956002,129.8459667,False
4,2011-12-30,1486.52618,0.0,924.6985922781621,369.93415951659983,3.2724,8.0688,32.692,7044.147999999999,2027.8504036923277,152.52728901999998,True
