Store,Dept,Date,Weekly_Sales,IsHoliday
0,1,2011-12-30 00:46:52,26267.33,True
0,1,2011-12-23 00:46:52,12766.36,True
0,1,2011-12-16 00:46:52,35644.78,True
0,1,2011-12-23 00:00:00,40859.64,True
0,1,2011-12-30 00:00:00,22339.12,True
0,2,2011-12-30 00:46:52,17382.19,True
0,2,2011-12-23 00:46:52,23138.69,True
0,2,2011-12-16 00:46:52,40399.96,True
0,2,2011-12-23 00:00:00,27767.13,True
0,2,2011-12-30 00:00:00,23546.37,True
0,3,2011-12-30 00:46:52,6225.13,True
0,3,2011-12-23 00:46:52,8104.13,True
0,3,2011-12-16 00:46:52,11246.36,True
0,3,2011-12-23 00:00:00,10366.34,True
0,3,2011-12-30 00:00:00,10531.96,True
0,4,2011-12-30 00:46:52,-15812.2,True
0,4,2011-12-23 00:46:52,12830.79,True
0,4,2011-12-16 00:46:52,24272.54,True
0,4,2011-12-23 00:00:00,26522.36,True
0,4,2011-12-30 00:00:00,12751.74,True
0,5,2011-12-30 00:46:52,11401.97,True
0,5,2011-12-23 00:46:52,35801.82,True
0,5,2011-12-16 00:46:52,91192.78,True
0,5,2011-12-23 00:00:00,82567.56,True
0,5,2011-12-30 00:00:00,10421.13,True
0,6,2011-12-30 00:46:52,2852.3,True
0,6,2011-12-23 00:46:52,8223.2,True
0,6,2011-12-16 00:46:52,7067.54,True
0,6,2011-12-23 00:00:00,17463.45,True
0,6,2011-12-30 00:00:00,8941.75,True
0,7,2011-12-30 00:46:52,32424.32,True
0,7,2011-12-23 00:46:52,42297.45,True
0,7,2011-12-16 00:46:52,30956.14,True
0,7,2011-12-23 00:00:00,40002.51,True
0,7,2011-12-30 00:46:52,11823.71,True
0,8,2011-12-30 00:46:52,20236.0,True
0,8,2011-12-23 00:46:52,28409.38,True
0,8,2011-12-16 00:46:52,25070.32,True
0,8,2011-12-23 00:00:00,44448.81,True
0,8,2011-12-30 00:00:00,13641.15,True
0,9,2011-12-30 00:46:52,11081.52,True
0,9,2011-12-23 00:46:52,17400.43,True
0,9,2011-12-16 00:40:12,11717.37,True
0,9,2011-12-23 00:00:00,52929.32,True
0,9,2011-12-30 00:00:00,25863.49,True
0,10,2011-12-30 00:46:52,11961.4,True
0,10,2011-12-23 00:46:52,11657.18,True
0,10,2011-12-16 00:46:52,15400.18,True
0,10,2011-12-23 00:00:00,25132.62,True
0,10,2011-12-30 00:00:00,19281.25,True
0,11,2011-12-30 00:46:52,11082.0,True
0,11,2011-12-23 00:46:52,12419.77,True
0,11,2011-12-16 00:46:52,11267.55,True
0,11,2011-12-23 00:00:00,11697.75,True
0,11,2011-12-30 00:00:00,9732.36,True
0,12,2011-12-30 00:46:52,4402.53,True
0,12,2011-12-23 00:46:52,5435.21,True
0,12,2011-12-16 00:46:52,4342.38,True
0,12,2011-12-23 01:20:00,3477.06,True
0,12,2011-12-30 00:00:00,2403.78,True
0,13,2011-12-30 00:46:52,24438.51,True
0,13,2011-12-23 00:46:52,12863.61,True
0,13,2011-12-16 00:46:52,11266.92,True
0,13,2011-12-23 00:00:00,11470.0,True
0,13,2011-12-30 00:00:00,44824.21,True
0,14,2011-12-30 00:46:52,15803.9,True
0,14,2011-12-23 00:46:52,21806.44,True
0,14,2011-12-16 00:46:52,14972.9,True
0,14,2011-12-23 00:00:00,32059.07,True
0,14,2011-12-30 00:00:00,22496.39,True
0,16,2011-12-30 00:46:52,4292.15,True
0,16,2011-12-23 00:46:52,1445.41,True
0,16,2011-12-16 00:46:52,2769.21,True
0,16,2011-12-23 00:00:00,2416.92,True
0,16,2011-12-30 00:00:00,3652.27,True
0,17,2011-12-30 00:46:52,8450.34,True
0,17,2011-12-23 00:46:52,7566.27,True
0,17,2011-12-16 00:46:52,11410.41,True
0,17,2011-12-23 00:00:00,25109.4,True
0,17,2011-12-30 00:00:00,11407.75,True
0,18,2011-12-30 00:46:52,13529.63,True
0,18,2011-12-23 00:46:52,49981.74,True
0,18,2011-12-16 00:46:52,24257.9,True
0,18,2011-12-23 00:00:00,12622.5,True
0,18,2011-12-30 00:00:00,17883.0,True
0,19,2011-12-30 00:46:52,441.68,True
0,19,2011-12-23 00:46:52,2005.43,True
0,19,2011-12-16 00:46:52,1171.01,True
0,19,2011-12-23 00:00:00,4442.59,True
0,19,2011-12-30 00:00:00,618.43,True
0,20,2011-12-30 00:46:52,5852.22,True
0,20,2011-12-23 00:46:52,8794.34,True
0,20,2011-12-16 00:46:52,7304.94,True
0,20,2011-12-23 00:00:00,9106.84,True
0,20,2011-12-23 01:20:00,4191.09,True
0,21,2011-12-30 00:46:52,11402.42,True
0,21,2011-12-23 00:46:52,7422.81,True
