Date,Dept,IsHoliday,Store,Weekly_Sales
2011-12-22,55,True,2879262,117.32
2011-12-20,82,True,2879262,674.39
2011-12-02,52,False,2879262,860.69
2011-12-20,71,True,2879262,7831.29
2011-12-22,26,False,2879262,3027.52
2011-12-04,93,False,2879262,22397.29
2011-12-26,91,True,2879262,7205.14
2011-12-14,44,False,2879262,25871.86
2011-12-18,5,True,2879262,1250.38
2011-12-08,9,False,2879262,1835.9
2011-12-06,11,True,2879262,23162.78
2011-12-10,21,False,2879262,713.21
2011-12-08,38,False,2879262,1934.83
2011-12-16,82,False,2879262,13081.91
2011-12-02,81,False,2879262,21594.9
2011-12-18,98,False,2879262,250.63
2011-12-02,40,False,2879262,11603.21
2011-12-10,92,False,2879262,11927.98
2011-12-07,96,False,2879262,12182.67
2011-12-24,21,True,2879262,1917.33
2011-12-26,29,False,2879262,39.1
2011-12-03,60,False,2879262,2648.86
2011-12-15,35,True,2879262,7765.39
2011-12-02,11,True,2879262,981.64
2011-12-10,77,False,2879262,14652.79
2011-12-02,98,False,2879262,12269.32
2011-12-11,83,False,2879262,90.66
2011-12-10,98,False,2879262,10299.14
2011-12-23,49,True,2879262,487.88
2011-12-11,98,False,2879262,2707.41
2011-12-14,23,True,2879262,12385.82
2011-12-02,98,False,2879262,25.18
2011-12-19,94,False,2879262,25.16
2011-12-02,92,False,2879262,3062.26
2011-12-03,49,False,2879262,53.93
2011-12-25,7,False,2879262,15954.82
2011-12-09,9,False,2879262,29.68
2011-12-17,11,False,2879262,1265.31
2011-12-20,98,True,2879262,996.45
2011-12-02,95,False,2879262,44878.31
2011-12-25,41,True,2879262,19528.7
2011-12-16,79,True,2879262,28.26
2011-12-23,80,False,2879262,671.14
2011-12-20,97,False,2879262,24594.69
2011-12-05,79,False,2879262,9222.26
2011-12-26,26,True,2879262,69.36
2011-12-04,26,False,2879262,2823.04
2011-12-26,30,False,2879262,657.91
2011-12-02,33,False,2879262,12897.42
2011-12-12,79,False,2879262,48958.35
2011-12-26,80,True,2879262,743.18
2011-12-26,58,False,2879262,426.27
2011-12-02,91,False,2879262,32866.87
2011-12-02,34,False,2879262,6513.26
2011-12-21,91,False,2879262,5944.95
2011-12-07,7,False,2879262,1885.22
2011-12-19,98,False,2879262,17112.83
2011-12-11,19,False,2879262,506.3
2011-12-26,97,False,2879262,4994.43
2011-12-23,92,False,2879262,7309.04
