Store,Date,Dept,IsHoliday,Weekly_Sales,_is_imputed
764285,2011-12-02,49.0,False,1196.86,False
764285,2011-12-02,4.0,False,9980.03,False
764285,2011-12-02,7.0,False,-173.66,False
764285,2011-12-02,79.0,False,-72.77,False
764285,2011-12-02,72.0,False,39549.93,False
764285,2011-12-02,21.0,False,46275.5,False
764285,2011-12-02,98.0,False,-307.79,False
764285,2011-12-02,58.0,False,3968.56,False
764285,2011-12-02,67.0,False,23612.68,False
764285,2011-12-02,93.0,False,99.98,False
764285,2011-12-02,60.0,False,23775.44,False
764285,2011-12-02,92.0,False,-246.57,False
764285,2011-12-02,25.0,False,16424.76,False
764285,2011-12-02,30.0,False,35966.21,False
764285,2011-12-02,95.0,False,1131.07,False
764285,2011-12-02,4.0,False,33963.58,False
764285,2011-12-02,55.0,False,8334.17,False
764285,2011-12-02,60.0,False,1919.92,False
764285,2011-12-02,96.0,False,1721.34,False
764285,2011-12-02,85.0,False,12051.23,False
764285,2011-12-02,71.0,False,2543.61,False
764285,2011-12-02,82.0,False,-233.68,False
764285,2011-12-02,9.0,False,-302.95,False
764285,2011-12-02,16.0,False,3551.97,False
764285,2011-12-02,83.0,False,578.21,False
764285,2011-12-02,44.0,False,24227.44,False
764285,2011-12-02,82.0,False,8918.32,False
764285,2011-12-02,44.0,False,7831.27,False
764285,2011-12-02,8.0,False,26542.15,False
764285,2011-12-02,90.0,False,878.6,False
764285,2011-12-02,7.0,False,46064.2,False
764285,2011-12-02,34.0,False,7316.02,False
764285,2011-12-02,36.0,False,6295.66,False
764285,2011-12-02,81.0,True,20951.59,False
764285,2011-12-02,92.0,False,9800.75,False
764285,2011-12-02,25.0,False,11955.21,False
764285,2011-12-02,19.0,False,4620.73,False
764285,2011-12-02,35.0,False,56892.44,False
764285,2011-12-02,72.0,False,13747.95,False
764285,2011-12-02,11.0,True,36085.02,False
764285,2011-12-02,98.0,False,34586.19,False
764285,2011-12-02,32.0,False,184.26,False
764285,2011-12-02,41.0,False,986.04,False
764285,2011-12-02,71.0,False,7746.56,False
764285,2011-12-02,95.0,False,3050.28,False
764285,2011-12-02,8.0,False,24527.86,False
764285,2011-12-02,17.0,False,7078.47,False
764285,2011-12-02,26.0,False,4664.15,False
764285,2011-12-02,49.0,False,-231.41,False
764285,2011-12-02,92.0,False,31398.31,False
764285,2011-12-02,54.0,False,2708.32,False
764285,2011-12-02,95.0,False,14007.97,False
764285,2011-12-02,38.0,False,2035.17,False
764285,2011-12-02,31.0,False,5877.83,False
764285,2011-12-02,94.0,False,4990.27,False
764285,2011-12-02,45.0,False,-109.28,False
764285,2011-12-02,26.0,False,7781.43,False
764285,2011-12-02,82.0,False,79406.94,False
764285,2011-12-02,46.0,False,20163.89,False
764285,2011-12-02,59.0,False,28582.06,False
764285,2011-12-02,2.0,False,34666.15,False
764285,2011-12-02,35.0,False,-267.84,False
764285,2011-12-02,87.0,False,37647.17,False
764285,2011-12-02,35.0,False,1231.54,False
764285,2011-12-02,82.0,False,-14.14,False
764285,2011-12-02,54.0,False,652.62,False
764285,2011-12-02,1.0,False,1052.77,False
764285,2011-12-02,8.0,False,24615.16,False
764285,2011-12-02,98.0,False,5444.1,False
764285,2011-12-02,33.0,False,9582.58,False
764285,2011-12-02,87.0,False,45490.72,False
764285,2011-12-02,32.0,False,19022.49,False
764285,2011-12-02,94.0,False,61455.73,False
764285,2011-12-02,91.0,False,4130.59,False
764285,2011-12-02,98.0,False,15862.92,False
764285,2011-12-02,12.0,True,1723.76,False
764285,2011-12-02,38.0,False,17224.11,False
764285,2011-12-02,77.0,False,30382.85,False
764285,2011-12-02,11.0,False,1151.84,False
764285,2011-12-02,31.0,False,-283.0,False
764285,2011-12-02,36.0,False,912.35,False
764285,2011-12-02,11.0,False,20051.89,False
764285,2011-12-02,96.0,False,17553.06,False
764285,2011-12-02,71.0,False,-114.1,False
764285,2011-12-02,6.0,False,459.23,False
764285,2011-12-02,82.0,False,40776.05,False
764285,2011-12-02,26.0,False,11712.39,False
764285,2011-12-02,6.0,False,1023.77,False
764285,2011-12-02,60.0,False,698.07,False
764285,2011-12-02,28.0,False,595.71,False
764285,2011-12-02,22.0,False,15985.69,False
764285,2011-12-02,60.0,False,54638.47,False
764285,2011-12-02,30.0,False,-215.48,False
764285,2011-12-02,74.0,False,8207.84,False
764285,2011-12-02,20.0,False,84387.35,False
764285,2011-12-02,46.0,False,895.01,False
764285,2011-12-02,82.0,False,9903.86,False
764285,2011-12-02,55.0,False,4698.81,False
764285,2011-12-02,87.0,False,103.68,False
764285,2011-12-02,12.0,False,2663.14,False
764285,2011-12-02,56.0,False,91365.16,False
764285,2011-12-02,8.0,False,76271.99,False
764285,2011-12-02,22.0,False,8229.91,False
764285,2011-12-02,32.0,False,6908.85,False
764285,2011-12-02,26.0,False,16113.56,False
764285,2011-12-02,22.0,False,11332.55,False
764285,2011-12-09,95.0,False,15.37,False
764285,2011-12-09,97.0,False,706.9,False
764285,2011-12-09,49.0,True,-95.58,False
764285,2011-12-09,9.0,False,515.38,False
764285,2011-12-09,97.0,False,803.03,False
764285,2011-12-09,98.0,False,-307.17,False
764285,2011-12-09,71.0,False,21833.16,False
764285,2011-12-09,59.0,False,19925.29,False
764285,2011-12-09,13.0,False,19748.77,False
764285,2011-12-09,98.0,False,13407.57,False
764285,2011-12-09,90.0,False,17327.89,False
764285,2011-12-09,56.0,False,-200.35,False
764285,2011-12-09,21.0,False,1209.29,False
764285,2011-12-09,35.0,False,847.54,False
764285,2011-12-09,81.0,False,-151.18,False
764285,2011-12-09,31.0,False,20108.49,False
764285,2011-12-09,91.0,False,7859.13,False
764285,2011-12-09,29.0,False,23983.97,False
764285,2011-12-09,80.0,False,5020.18,False
764285,2011-12-09,19.0,True,117.29,False
764285,2011-12-09,16.0,False,-213.25,False
764285,2011-12-09,98.0,False,-203.42,False
764285,2011-12-09,71.0,False,69685.52,False
764285,2011-12-09,20.0,False,808.42,False
764285,2011-12-09,98.0,False,3431.83,False
764285,2011-12-09,92.0,False,4038.78,False
764285,2011-12-09,83.0,True,20258.92,False
