CPI,Date,Fuel_Price,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Store,Temperature,Unemployment
199.9793565,2011-12-21,3.449,False,664.6029,59100.035928128826,92.45570560616142,2.0,1618.69,2879262,47.77,7.581
199.7360234,2011-12-03,3.48,False,2994.2794,67718.50082920669,2297.3129429011206,867.3095431679993,3615.7,2879262,57.59,7.581
199.7190623,2011-12-02,3.483,True,689.7542,67718.50130627012,1990.593995290429,831.6680993871338,3520.82,2879262,56.68,7.581
200.1190693,2011-12-28,3.385,False,2968.6931,58479.733934758166,452.93123246083417,783.3507370347178,1972.75,2879262,55.66,7.581
199.8969042,2011-12-15,3.465,True,1160.8545,67640.50731673426,474.58234551596695,801.5788868588633,2778.78,2879262,55.82,7.581
193.2537422,2011-12-22,3.523,True,6431.4098,182.62031479884237,13883.17646382196,2.0,5961.94,14285559,22.99,7.734
192.9656438,2011-12-02,3.655,False,10220.4756,182.62031479048792,13883.432145915374,3242.171125772156,35717.28,14285559,24.36,7.734
192.9655734,2011-12-02,3.591,False,8510.3645,182.62031511483048,13883.432145915374,2.0,23975.72,14285559,24.16,7.734
193.3225582,2011-12-27,3.523,True,10021.5236,182.62031479048792,523.2390437423969,3490.8002115958675,6019.48,14285559,22.26,7.734
193.0639831,2011-12-11,3.525,False,9188.8528,182.62031545514867,13883.432145915374,255.08476247457872,7873.95,14285559,23.35,7.734
156.3101485,2011-12-28,3.422,False,7769.4143,89868.64916732753,1127.9962927628549,3583.368142621889,4651.11,9798665,46.54,6.546
155.9821752,2011-12-02,3.517,False,2999.8844,89798.62927430833,4426.331584741203,4848.533588499325,18433.13,9798665,54.65,6.546
155.9977826,2011-12-02,3.461,False,6365.7811,89869.39630693788,107.76452122834196,5083.84486122294,7213.76,9798665,51.19,6.546
156.2209829,2011-12-18,3.422,True,3044.6507,89245.40685029817,5422.412169529552,971.6395019034366,7213.18,9798665,46.16,6.546
156.0864826,2011-12-10,3.424,False,4932.657,89868.3525155286,807.6535454514337,4286.139287187044,6086.48,9798665,47.81,6.546
154.9710382,2011-12-27,3.295,False,5949.8174,69020.95037216804,1085.7807090225,862.1550703997151,4864.52,9956434,37.02,8.577
154.7201192,2011-12-02,3.432,False,8311.4545,50962.901174260274,4286.2531390747845,862.149966213353,4095.16,9956434,39.81,8.577
154.7417648,2011-12-12,3.413,False,2453.301,54842.85935246677,4598.228214598773,862.149966213353,2918.28,9956434,39.69,8.577
154.774778,2011-12-14,3.313,False,9206.7921,70587.64545364001,52.3365901325311,2554.8960469148583,8953.62,9956434,39.34,8.577
154.7710942,2011-12-16,3.36,False,6459.9319,69140.55914884656,2735.1115964143255,862.1499662136441,5210.59,9956434,39.51,8.577
147.228255,2011-12-26,3.429,True,1027.6651,41548.450990202524,114.04058064287581,3659.538329326953,1025.2,10275130,34.71,11.13
146.752685,2011-12-02,3.594,False,1162.7286,45675.77106233661,3683.5426200160123,3883.4131212997436,6476.2,10275130,38.34,11.13
146.7531026,2011-12-02,3.599,False,1026.1766,45885.91001264581,1615.2891726697962,3883.8129971257717,4623.9,10275130,34.58,11.13
147.2423909,2011-12-20,3.403,False,1559.9544,23964.380193478086,3030.4007506365997,968.5230444248082,3285.15,10275130,36.23,11.13
146.8338968,2011-12-10,3.529,False,1043.0092,42710.51910204288,977.385648025268,3863.7812386129463,3362.58,10275130,34.88,11.13
222.0066528,2011-12-27,3.177,True,783.6251,44079.97405636744,214.12640464952187,131.87858381322522,1392.33,7218420,52.22,7.883
221.2149687,2011-12-02,3.198,False,574.1489,47368.99170097281,27.04352586859492,1025.1525039206006,1769.27,7218420,53.26,7.883
221.2511531,2011-12-03,3.192,False,1618.3283,49320.74908838739,779.4906307728886,131.50056611794582,2355.13,7218420,53.32,7.883
221.9748091,2011-12-26,3.197,False,564.4124,24330.284523886286,16.782766727712097,1083.2757711494494,609.61,7218420,52.48,7.883
221.6247579,2011-12-13,3.19,False,742.2467,41674.961297396585,210.6648422164331,131.6014256728073,1468.71,7218420,53.13,7.883
130.9826003,2011-12-21,3.292,True,5448.4362,20031.621104533875,20295.153768759177,1725.0458315552335,4975.61,7177626,33.95,9.818
130.6351298,2011-12-05,3.523,False,10237.8427,1321.5405698784577,20295.153768759177,6615.5,37126.58,7177626,40.48,9.818
130.637032,2011-12-10,3.365,False,6422.6609,0.03,20295.153768759177,6615.5,36477.44,7177626,43.57,9.818
130.9558351,2011-12-26,3.336,True,10193.702,76645.36208607622,19830.569852797405,6122.880293436378,5493.34,7177626,33.95,9.818
130.7338985,2011-12-20,3.336,False,8437.2198,14483.17989118473,20295.153768759177,6281.0710592087835,18218.32,7177626,36.13,9.818
145.5507644,2011-12-22,3.199,False,3972.8862,4787.880884194694,1810.375263857848,396.5876173205998,3986.94,7020511,35.53,9.178
145.1543997,2011-12-03,3.253,False,4721.8348,11766.282373098007,141.31857362414436,2160.052811554363,13640.58,7020511,39.55,9.178
145.1544641,2011-12-02,3.253,False,4576.3181,10156.945910293045,1796.3984629484921,483.9287986581277,4309.82,7020511,40.57,9.178
145.5712079,2011-12-28,3.159,True,4921.245,11431.06743028865,152.21878138963248,2127.4756756031293,13640.58,7020511,37.61,9.178
145.2200396,2011-12-15,3.248,False,4824.7967,10877.677182167292,820.7502209476804,403.5983097194301,12933.85,7020511,39.0,9.178
166.8640602,2011-12-25,3.243,False,3311.4265,19711.506083232685,265.21193314957094,2.0,2697.04,13339386,33.0,6.46
166.6070878,2011-12-02,3.34,False,5036.8237,2505.4227304925726,2980.266874828804,1827.904164660965,25027.08,13339386,42.0,6.46
166.6315766,2011-12-02,3.292,False,862.343,4463.380008241934,1504.4260556333938,1044.9338256584467,25027.08,13339386,41.98,6.46
166.8197741,2011-12-27,3.247,True,5223.0698,22783.9983996523,261.8379537627675,1456.1971017679948,12144.89,13339386,33.36,6.46
166.7158035,2011-12-12,3.254,False,4429.3976,12509.770952451876,285.66997022554847,1076.81060828351,25026.39,13339386,36.5,6.46
182.2978109,2011-12-25,3.195,True,6865.0034,87054.47929162609,837.3724389090175,2207.1729533501007,3132.39,4684864,34.55,6.468
181.7809777,2011-12-02,3.297,False,9634.3044,0.03,12294.459340897874,6111.899174380794,35180.17,4684864,34.57,6.468
181.9450711,2011-12-14,3.297,False,9541.1469,11874.547847414304,15057.590015560132,6178.033155162804,35180.29,4684864,38.56,6.468
182.2878506,2011-12-14,3.198,False,4868.2837,7637.667571198642,324.18025140613975,1021.2130952504663,3132.39,4684864,28.15,6.468
182.182891,2011-12-18,3.274,False,7860.1659,14285.732954696972,8070.865510185535,4023.829317409844,3239.88,4684864,33.62,6.468
178.6056663,2011-12-26,3.3,False,1793.1221,80828.87527824509,1124.9134212194365,580.586280866749,988.67,15709902,45.31,7.327
178.248747,2011-12-02,3.368,False,2172.5032,104519.54,3940.5203284476493,3530.490363931851,19833.35,15709902,56.82,7.327
178.2515387,2011-12-02,3.306,False,1707.0288,97269.21208878668,6051.481846646902,3447.5630083014166,19828.19,15709902,56.27,7.327
178.6408003,2011-12-24,3.32,False,3453.6171,104519.54,186.54381040669526,1558.777961664711,977.53,15709902,45.03,7.327
178.4159396,2011-12-12,3.306,False,1717.3472,104519.54,4006.9162607367903,2977.908540681209,3406.86,15709902,47.96,7.327
200.8171592,2011-12-25,3.192,False,11472.59,78442.51223577131,567.1016381004991,2500.52436488264,5807.52,5089766,32.83,7.888
200.5130598,2011-12-02,3.234,False,11472.59,0.03,6742.942383654953,2878.8248241268,35488.88,5089766,34.86,7.888
200.5329989,2011-12-04,3.244,False,11472.59,863.1142997598281,3461.5213251840473,3113.036099064426,35488.88,5089766,34.91,7.888
200.8050344,2011-12-23,3.192,False,6276.3687,15043.992378052582,3069.5041891370133,928.6291502348107,5807.52,5089766,22.9,7.888
200.6862424,2011-12-14,3.196,False,10390.0003,6210.888087874434,2541.174953826288,2819.5440502161255,5807.53,5089766,33.56,7.888
197.1371552,2011-12-25,3.362,False,4889.5004,77945.69716365961,192.59044831953378,3624.8724956000224,749.79,5301261,32.38,4.749
196.7358123,2011-12-02,3.368,False,3333.07,5285.488700601024,5918.925532238683,2758.450980792799,28703.43,5301261,40.25,4.749
196.7362544,2011-12-02,3.377,False,5650.1134,31990.414314808088,3199.5094312544315,3518.553508942382,27521.84,5301261,36.55,4.749
197.1441964,2011-12-27,3.362,True,2510.7434,38282.72484816933,607.6614812489379,1429.28354122913,740.23,5301261,32.97,4.749
196.8633578,2011-12-12,3.362,False,4676.6863,37333.12035043917,1065.178384942267,2733.945151063277,2033.91,5301261,33.71,4.749
211.2655255,2011-12-21,3.245,False,3907.3348,4145.357512598472,140.11684140263455,1748.979885017834,4096.65,13849251,33.31,8.213
210.589567,2011-12-03,3.345,False,7427.1557,45111.38572620138,3586.752002380777,4511.635706133204,33099.74,13849251,37.73,8.213
210.6125869,2011-12-02,3.345,False,7416.3555,18237.639263087596,1837.202133631343,2907.307359365175,33099.74,13849251,33.09,8.213
211.23423,2011-12-29,3.242,False,6547.7691,43257.572511625665,251.29579629636893,3008.008621591478,4096.46,13849251,40.92,8.213
210.8962295,2011-12-14,3.34,False,7079.8036,25144.381454607654,730.0719071242395,2548.469696142897,32866.65,13849251,34.59,8.213
135.379852,2011-12-27,3.354,False,3344.8126,50318.81756318296,127.83451878222358,1961.0074395249396,12986.27,8273242,50.25,6.739
135.0560581,2011-12-02,3.507,False,1607.9361,25587.524231959425,3949.4526291909783,4293.03700960467,12548.65,8273242,52.71,6.739
135.0560574,2011-12-02,3.502,False,3770.4556,11105.383004184576,2863.6580111444296,3849.033337871203,17311.98,8273242,55.02,6.739
135.4439537,2011-12-21,3.344,False,528.424,50357.18500809924,1977.4108274641956,992.297452244816,3810.64,8273242,49.7,6.739
135.0737539,2011-12-12,3.428,False,3104.8955,27640.596305866005,1962.8768183425498,2340.7169674997263,11425.21,8273242,50.23,6.739
204.6688442,2011-12-21,3.145,False,1511.9514,18606.910399783435,363.0866544412173,2.0,366.04,1101777,26.46,4.643
204.2914189,2011-12-02,3.202,False,6894.462,20685.205810997126,233.13009180199634,856.5486396019351,5116.32,1101777,31.73,4.643
204.3156132,2011-12-03,3.206,False,6892.7288,20155.97667952511,2880.773228776096,644.8795028272116,4695.22,1101777,31.97,4.643
204.645948,2011-12-27,3.124,False,1758.5421,20685.20729764108,132.58138192480297,486.622276975269,376.27,1101777,15.12,4.643
204.4868208,2011-12-15,3.163,False,6148.6281,20665.379463211746,1062.6247739294772,491.5031579414886,776.55,1101777,30.13,4.643
216.8602882,2011-12-28,3.219,False,5590.3921,15307.78520125067,119.12669083261152,1406.724989465567,28487.74,2475371,39.06,5.796
216.1003106,2011-12-02,3.359,False,7135.4387,0.03,2016.8857556120522,1250.407722142866,28361.37,2475371,48.81,5.796
216.242066,2011-12-02,3.345,False,5152.7297,0.03,2113.4009767229622,1203.5406274793618,28488.6,2475371,52.45,5.796
216.5878108,2011-12-26,3.219,False,5970.2874,8140.633083984857,92.87286060455986,595.9566131351573,4082.08,2475371,37.19,5.796
216.4654578,2011-12-09,3.267,False,5649.142,3225.2132464571214,578.0551697901377,738.7535490297251,28201.11,2475371,47.6,5.796
171.2979042,2011-12-25,3.305,True,7669.7961,57952.60257468908,371.4374822911378,434.2259568035564,10050.81,11845276,50.02,7.222
170.6088134,2011-12-02,3.437,False,6408.8723,87533.27997149601,3666.1478550755332,5384.545020470509,29149.41,11845276,51.22,7.222
170.6304262,2011-12-09,3.438,False,7670.0424,55087.57005601496,7692.683708389103,5360.4573179681065,29093.19,11845276,51.54,7.222
171.0429898,2011-12-20,3.285,True,4284.014,92114.5719892386,1.856124030942675,603.0178091171213,14901.87,11845276,51.42,7.222
